# Real-time dipole moment data
# time_ps dipole_x dipole_y dipole_z
4.069750 -317690.172119 477048.919633 -24320.945883
4.070000 -698417.148896 269783.469859 29458.498286
4.070250 -280791.981888 102264.998036 229990.267952
4.070500 -173820.171132 304288.082700 269513.053475
4.070750 -350201.144064 -246483.688473 232004.151523
4.071000 87465.928540 185238.389995 103578.568380
4.071250 -374811.416501 -969591.842701 269859.225841
4.071500 -64912.527180 259844.511056 -298369.035333
4.071750 22941.006418 308740.983240 223470.821656
4.072000 -165417.336794 154395.766145 -393618.548450
4.072250 -475221.698909 17977.451701 -677872.724852
4.072500 -195652.081053 169756.255116 -138644.305301
4.072750 419947.202768 99629.259192 242452.062323
4.073000 -390791.035584 446802.381612 -272875.751545
4.073250 -263679.238337 245666.953003 -211944.900645
4.073500 -327415.065427 357528.544774 -392489.826796
4.073750 -218454.119443 332556.089372 -524848.288738
4.074000 -310755.136383 -521504.637060 372657.014917
4.074250 -149250.323669 384946.339822 217913.916911
4.074500 146993.527438 127863.754351 92962.737247
4.074750 -63077.779650 -29025.785189 -384848.210247
4.075000 -516050.385070 58022.563480 -132759.907315
4.075250 103301.592275 146836.802579 163478.643048
4.075500 -209700.793770 231428.817670 11895.336647
4.075750 162059.103772 260136.951679 25217.341388
4.076000 -359682.749170 6254.610156 -219223.336408
4.076250 34001.191277 61665.009153 226458.355948
4.076500 -818436.368406 203419.569305 -403119.497067
4.076750 403263.920919 104361.623664 4298.279971
4.077000 -909710.535433 195179.595339 296198.250426
4.077250 -32540.017010 744.755237 -405381.384190
4.077500 -330699.226333 276876.661396 31214.293235
4.077750 -207859.473574 356733.271092 92266.283799
4.078000 -464735.272084 -331850.338318 -58152.778521
4.078250 129526.550642 345374.274971 -58708.719860
4.078500 -297417.500095 249737.061250 71528.031196
4.078750 -351836.141878 -728227.734441 184334.678941
4.079000 -114753.695243 -328196.484962 691782.251518
4.079250 83590.216833 148078.889582 368687.287931
4.079500 178246.614012 -318993.420422 423498.415184
4.079750 -285461.617814 237662.523030 485217.833800
4.080000 172554.382809 217706.033358 316436.147885
4.080250 -279091.925803 222985.579158 -302624.593531
4.080500 57499.257831 363441.384779 134944.719949
4.080750 -74288.360041 -339089.908960 405171.879196
4.081000 -413568.900620 69123.184545 239849.907848
4.081250 -76873.552962 105056.899214 -402909.709173
4.081500 -504865.151474 -251937.097733 18188.789929
4.081750 -101653.392678 -108261.542197 529833.578216
4.082000 -138504.330660 268311.411119 -448810.650584
4.082250 271453.048476 232942.547179 -182458.529202
4.082500 -65705.066559 11161.993786 330037.933016
4.082750 -155475.000532 115018.918679 -40611.888591
4.083000 479830.830176 -220038.080204 15726.042521
4.083250 252019.653173 31715.834449 -120306.304535
4.083500 120983.108364 -114877.756257 268460.437406
4.083750 -409220.868671 -230792.200969 120096.502028
4.084000 -279296.554065 -203137.787559 -149575.606069
4.084250 39316.928967 -19660.026858 -27818.359269
4.084500 -37852.556907 92523.720781 331790.694710
4.084750 -28155.341029 -166855.624688 -153216.234588
4.085000 -577650.523294 12742.758463 122757.522471
4.085250 -700171.467148 147648.101741 -207694.183893
4.085500 -227802.039160 -116014.571814 325193.670820
4.085750 -84125.511201 79366.343753 216867.611642
4.086000 -205199.140087 53603.284249 282967.705659
4.086250 -146140.306572 -73011.367993 -285898.975412
4.086500 190331.934637 -84958.368472 212177.886766
4.086750 -375067.137612 -202757.888236 230093.618332
